"","File","Date","interval","tempC","I","K.instant","GPP.instant","ER.instant"
"1","dat_input.csv","2017-08-01",1,29,0.333333333333333,0.0101234371774729,6.86246309215293e-05,0.309541944718612
"2","dat_input.csv","2017-08-01",2,28.9,0.333333333333333,0.0100993577268769,6.86246309215293e-05,0.307403881634944
"3","dat_input.csv","2017-08-01",3,28.5,0.333333333333333,0.0100036113138536,6.86246309215293e-05,0.298998292711145
"4","dat_input.csv","2017-08-01",4,28.3,0.222222222222222,0.0099560790416147,4.57497539476862e-05,0.294882085392442
"5","dat_input.csv","2017-08-01",5,28.2,0.111111111111111,0.00993239766648394,2.28748769738431e-05,0.292845280650566
"6","dat_input.csv","2017-08-01",6,28.2,0.111111111111111,0.00993239766648394,2.28748769738431e-05,0.292845280650566
"7","dat_input.csv","2017-08-01",7,28.1,5.33333333333333,0.00990877261950463,0.00109799409474447,0.29082254449326
"8","dat_input.csv","2017-08-01",8,28.4,219.888888888889,0.00997981687919761,0.0452693815312356,0.296933056569056
"9","dat_input.csv","2017-08-01",9,28.6,615.111111111111,0.0100274624805246,0.126635318927196,0.301077893034749
"10","dat_input.csv","2017-08-01",10,28.6,1027.11111111111,0.0100274624805246,0.211455362746206,0.301077893034749
"11","dat_input.csv","2017-08-01",11,28.7,1407,0.0100513705144742,0.289664567119776,0.30317195744598
"12","dat_input.csv","2017-08-01",12,28.7,1172.55555555556,0.0100513705144742,0.241398576704968,0.30317195744598
"13","dat_input.csv","2017-08-01",13,28.7,1939.33333333333,0.0100513705144742,0.399258102701458,0.30317195744598
"14","dat_input.csv","2017-08-01",14,28.7,1954.22222222222,0.0100513705144742,0.402323336215953,0.30317195744598
"15","dat_input.csv","2017-08-01",15,29,1993.11111111111,0.0101234371774729,0.410329543156798,0.309541944718612
"16","dat_input.csv","2017-08-01",16,29.2,1822.11111111111,0.0101717684502462,0.375125107494053,0.313862786442857
"17","dat_input.csv","2017-08-01",17,29.3,1540.66666666667,0.0101960205465176,0.31718304411931,0.316045772661058
"18","dat_input.csv","2017-08-01",18,29.3,1116.77777777778,0.0101960205465176,0.229915388464098,0.316045772661058
"19","dat_input.csv","2017-08-01",19,29.2,299.555555555556,0.0101717684502462,0.0616706683214812,0.313862786442857
"20","dat_input.csv","2017-08-01",20,29.5,103.666666666667,0.0102446983465175,0.0213422602165957,0.320457400179023
"21","dat_input.csv","2017-08-01",21,29.2,1.55555555555556,0.0101717684502462,0.000320248277633805,0.313862786442857
"22","dat_input.csv","2017-08-01",22,29.2,0.666666666666667,0.0101717684502462,0.000137249261843059,0.313862786442857
"23","dat_input.csv","2017-08-01",23,29.2,0.444444444444444,0.0101717684502462,9.14995078953725e-05,0.313862786442857
"24","dat_input.csv","2017-08-01",24,29.2,0.444444444444444,0.0101717684502462,9.14995078953725e-05,0.313862786442857
"25","dat_input.csv","2017-08-02",1,29.3,0.333333333333333,0.0100175175921504,9.56820184586548e-05,0.0210621147841582
"26","dat_input.csv","2017-08-02",2,29.3,0.333333333333333,0.0100175175921504,9.56820184586548e-05,0.0210621147841582
"27","dat_input.csv","2017-08-02",3,29.3,0.333333333333333,0.0100175175921504,9.56820184586548e-05,0.0210621147841582
"28","dat_input.csv","2017-08-02",4,29.1,0.333333333333333,0.00996991924407293,9.56820184586548e-05,0.0207721598475069
"29","dat_input.csv","2017-08-02",5,29.2,0.222222222222222,0.00999369008023658,6.37880123057699e-05,0.0209166348876456
"30","dat_input.csv","2017-08-02",6,29.2,0.111111111111111,0.00999369008023658,3.18940061528849e-05,0.0209166348876456
"31","dat_input.csv","2017-08-02",7,29.1,3.88888888888889,0.00996991924407293,0.00111629021535097,0.0207721598475069
"32","dat_input.csv","2017-08-02",8,29,124.555555555556,0.00994620494885134,0.0357531808973842,0.0206286827230146
"33","dat_input.csv","2017-08-02",9,29,279.444444444444,0.00994620494885134,0.0802134254745056,0.0206286827230146
"34","dat_input.csv","2017-08-02",10,29,974.777777777778,0.00994620494885134,0.27980611597926,0.0206286827230146
"35","dat_input.csv","2017-08-02",11,29,1366.22222222222,0.00994620494885134,0.392168699655873,0.0206286827230146
"36","dat_input.csv","2017-08-02",12,29.1,1444.33333333333,0.00996991924407293,0.414590185981351,0.0207721598475069
"37","dat_input.csv","2017-08-02",13,29.1,1761.77777777778,0.00996991924407293,0.505711361560145,0.0207721598475069
"38","dat_input.csv","2017-08-02",14,29.4,1861.88888888889,0.0100414019149438,0.534447861103894,0.0212086065260467
"39","dat_input.csv","2017-08-02",15,29.8,981.333333333333,0.0101375100287955,0.28168786234228,0.0218048334358665
"40","dat_input.csv","2017-08-02",16,29.9,1475.44444444444,0.0101616804442325,0.423520507704158,0.0219564909528984
"41","dat_input.csv","2017-08-02",17,30.3,1604.88888888889,0.0102589397661212,0.460677024872271,0.0225737427622172
"42","dat_input.csv","2017-08-02",18,30.3,1165.88888888889,0.0102589397661212,0.334663806562222,0.0225737427622172
"43","dat_input.csv","2017-08-02",19,30.5,705.222222222222,0.0103079179548045,0.202431257052361,0.0228888456788447
"44","dat_input.csv","2017-08-02",20,30.3,83,0.0102589397661212,0.0238248225962051,0.0225737427622172
"45","dat_input.csv","2017-08-02",21,30.1,1.44444444444444,0.0102101942978551,0.000414622079987503,0.0222629777597625
"46","dat_input.csv","2017-08-02",22,30.1,0.555555555555556,0.0102101942978551,0.000159470030764425,0.0222629777597625
"47","dat_input.csv","2017-08-02",23,30.2,0.555555555555556,0.0102345380111703,0.000159470030764425,0.0224178217735319
