"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"68","2018-05-03","19:00:00",101.333333333333,25,9,1.00789733464956,7.2
"69","2018-05-03","20:00:00",0.222222222222222,24.7,9,1.00888450148075,7.7
"70","2018-05-03","21:00:00",0,24.8,7.6,1.00888450148075,9.9
"71","2018-05-03","22:00:00",0,25,7.8,1.00888450148075,9.5
"72","2018-05-03","23:00:00",0,24,5.3,1.00888450148075,12.4
"73","2018-05-04","00:00:00",0,24.1,5.2,1.00888450148075,12.6
"74","2018-05-04","01:00:00",0,24.3,5,1.00888450148075,11.1
"75","2018-05-04","02:00:00",0,24.4,8,1.00888450148075,9.5
"76","2018-05-04","03:00:00",0,24.4,8.1,1.00789733464956,12.1
"77","2018-05-04","04:00:00",0,24.7,8,1.00789733464956,16.2
"78","2018-05-04","05:00:00",0,24.2,7.9,1.00789733464956,16.8
"79","2018-05-04","06:00:00",9.33333333333333,24.1,6.9,1.00888450148075,18.9
"80","2018-05-04","07:00:00",238.111111111111,24,6.6,1.00888450148075,18.3
"81","2018-05-04","08:00:00",615.377517868746,23.9,6.2,1.00311758918711,17.7
"82","2018-05-04","09:00:00",1775.11111111111,23.9,6.2,1.00789733464956,16.4
"83","2018-05-04","10:00:00",1959.33333333333,24,7.3,1.00789733464956,15.9
"84","2018-05-04","11:00:00",2021.66666666667,24.2,7.8,1.00789733464956,15.3
"85","2018-05-04","12:00:00",1962.55555555556,24.6,8.3,1.00691016781836,14.1
"86","2018-05-04","13:00:00",615.377517868746,25,8.4,1.00311758918711,14.1
"87","2018-05-04","14:00:00",615.377517868746,25.5,8,1.00311758918711,13.8
"88","2018-05-04","15:00:00",1772.55555555556,25.5,8.7,1.00691016781836,13.9
"89","2018-05-04","16:00:00",1457.55555555556,25.4,9.1,1.00592300098717,14
"90","2018-05-04","17:00:00",977.333333333333,25.2,9.2,1.00592300098717,14.4
"91","2018-05-04","18:00:00",523.111111111111,25,8.7,1.00592300098717,14.2
"92","2018-05-04","19:00:00",107.333333333333,24.7,8.5,1.00592300098717,13.7
"93","2018-05-04","20:00:00",0,24.7,9.5,1.00592300098717,12.4
"94","2018-05-04","21:00:00",0,25.3,8.2,1.00592300098717,11.4
"95","2018-05-04","22:00:00",0,25.1,7.6,1.00592300098717,13.1
"96","2018-05-04","23:00:00",0,25.4,8.1,1.00592300098717,12.9
"97","2018-05-05","00:00:00",0,25.4,7.7,1.00493583415597,12.5
"98","2018-05-05","01:00:00",0,25.2,8.1,1.00493583415597,12.4
"99","2018-05-05","02:00:00",0,25.4,8.1,1.00394866732478,13.7
"100","2018-05-05","03:00:00",0,25.1,7.6,1.00394866732478,14.9
"101","2018-05-05","04:00:00",0,24.8,7.1,1.00394866732478,18.1
"102","2018-05-05","05:00:00",0,24.4,6.4,1.00394866732478,21.9
"103","2018-05-05","06:00:00",5.11111111111111,24.3,6.1,1.00493583415597,23.4
