"Date","var","val","site"
2022-05-02 06:30:00,"NEP",-2201.53381123257,"apapc"
2022-05-02 07:30:00,"GPP",3341.66849388947,"apapc"
2022-05-02 07:30:00,"ER",454.536839791761,"apapc"
2022-05-02 07:30:00,"NEP",3796.20533368123,"apapc"
2022-05-02 08:30:00,"GPP",-863.319181121286,"apapc"
2022-05-02 08:30:00,"ER",454.536839791761,"apapc"
2022-05-02 08:30:00,"NEP",-408.782341329525,"apapc"
2022-05-02 09:30:00,"GPP",332.234359478295,"apapc"
2022-05-02 09:30:00,"ER",454.536839791761,"apapc"
2022-05-02 09:30:00,"NEP",786.771199270056,"apapc"
2022-05-02 10:30:00,"GPP",-1063.96846429966,"apapc"
2022-05-02 10:30:00,"ER",454.536839791761,"apapc"
2022-05-02 10:30:00,"NEP",-609.431624507902,"apapc"
2022-05-02 11:30:00,"GPP",1741.06390504455,"apapc"
2022-05-02 11:30:00,"ER",454.536839791761,"apapc"
2022-05-02 11:30:00,"NEP",2195.60074483631,"apapc"
2022-05-02 12:30:00,"GPP",-1456.06719143764,"apapc"
2022-05-02 12:30:00,"ER",454.536839791761,"apapc"
2022-05-02 12:30:00,"NEP",-1001.53035164588,"apapc"
2022-05-02 13:30:00,"GPP",-2868.53449057345,"apapc"
2022-05-02 13:30:00,"ER",454.536839791761,"apapc"
2022-05-02 13:30:00,"NEP",-2413.99765078169,"apapc"
2022-05-02 14:30:00,"GPP",727.042665308451,"apapc"
2022-05-02 14:30:00,"ER",454.536839791761,"apapc"
2022-05-02 14:30:00,"NEP",1181.57950510021,"apapc"
2022-05-02 15:30:00,"GPP",2543.54268335859,"apapc"
2022-05-02 15:30:00,"ER",454.536839791761,"apapc"
2022-05-02 15:30:00,"NEP",2998.07952315035,"apapc"
2022-05-02 16:30:00,"GPP",354.267114127422,"apapc"
2022-05-02 16:30:00,"ER",454.536839791761,"apapc"
2022-05-02 16:30:00,"NEP",808.803953919183,"apapc"
2022-05-02 17:30:00,"GPP",-6058.61546243923,"apapc"
2022-05-02 17:30:00,"ER",454.536839791761,"apapc"
2022-05-02 17:30:00,"NEP",-5604.07862264746,"apapc"
2022-05-02 18:30:00,"GPP",-1868.20938947381,"apapc"
2022-05-02 18:30:00,"ER",454.536839791761,"apapc"
2022-05-02 18:30:00,"NEP",-1413.67254968205,"apapc"
2022-05-02 19:30:00,"GPP",0,"apapc"
2022-05-02 19:30:00,"ER",454.536839791761,"apapc"
2022-05-02 19:30:00,"NEP",454.536839791761,"apapc"
2022-05-02 20:30:00,"GPP",0,"apapc"
2022-05-02 20:30:00,"ER",454.536839791761,"apapc"
2022-05-02 20:30:00,"NEP",454.536839791761,"apapc"
2022-05-02 21:30:00,"GPP",0,"apapc"
2022-05-02 21:30:00,"ER",454.536839791761,"apapc"
2022-05-02 21:30:00,"NEP",454.536839791761,"apapc"
2022-05-02 22:30:00,"GPP",0,"apapc"
2022-05-02 22:30:00,"ER",454.536839791761,"apapc"
2022-05-02 22:30:00,"NEP",454.536839791761,"apapc"
2022-05-02 23:30:00,"GPP",0,"apapc"
2022-05-02 23:30:00,"ER",454.536839791761,"apapc"
2022-05-02 23:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 00:30:00,"GPP",0,"apapc"
2022-05-03 00:30:00,"ER",454.536839791761,"apapc"
2022-05-03 00:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 01:30:00,"GPP",0,"apapc"
2022-05-03 01:30:00,"ER",454.536839791761,"apapc"
2022-05-03 01:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 02:30:00,"GPP",0,"apapc"
2022-05-03 02:30:00,"ER",454.536839791761,"apapc"
2022-05-03 02:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 03:30:00,"GPP",0,"apapc"
2022-05-03 03:30:00,"ER",454.536839791761,"apapc"
2022-05-03 03:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 04:30:00,"GPP",0,"apapc"
2022-05-03 04:30:00,"ER",454.536839791761,"apapc"
2022-05-03 04:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 05:30:00,"GPP",0,"apapc"
2022-05-03 05:30:00,"ER",454.536839791761,"apapc"
2022-05-03 05:30:00,"NEP",454.536839791761,"apapc"
2022-05-03 06:30:00,"GPP",-1074.54379049958,"apapc"
2022-05-03 06:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 06:30:00,"NEP",-1601.45710450928,"apapc"
2022-05-03 07:30:00,"GPP",-278.956912404015,"apapc"
2022-05-03 07:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 07:30:00,"NEP",-805.870226413718,"apapc"
2022-05-03 08:30:00,"GPP",-84.4126244944374,"apapc"
2022-05-03 08:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 08:30:00,"NEP",-611.32593850414,"apapc"
2022-05-03 09:30:00,"GPP",1516.37183054019,"apapc"
2022-05-03 09:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 09:30:00,"NEP",989.45851653049,"apapc"
2022-05-03 10:30:00,"GPP",115.647852119091,"apapc"
2022-05-03 10:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 10:30:00,"NEP",-411.265461890612,"apapc"
2022-05-03 11:30:00,"GPP",-286.477433777829,"apapc"
2022-05-03 11:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 11:30:00,"NEP",-813.390747787532,"apapc"
2022-05-03 12:30:00,"GPP",103.377345125164,"apapc"
2022-05-03 12:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 12:30:00,"NEP",-423.535968884538,"apapc"
2022-05-03 13:30:00,"GPP",5311.31216934869,"apapc"
2022-05-03 13:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 13:30:00,"NEP",4784.39885533899,"apapc"
2022-05-03 14:30:00,"GPP",946.015910996056,"apapc"
2022-05-03 14:30:00,"ER",-526.913314009703,"apapc"
2022-05-03 14:30:00,"NEP",419.102596986354,"apapc"
2022-05-03 15:30:00,"GPP",1751.31639418935,"apapc"
