"","File","Date","interval","tempC","I","K.instant","GPP.instant","ER.instant"
"1","dat_input.csv","2018-05-01",1,23.8,0,0.538130202168103,0,0.201462277891141
"2","dat_input.csv","2018-05-01",2,23.6,0,0.53557327042946,0,0.198688815557364
"3","dat_input.csv","2018-05-01",3,23.4,0,0.533028487980878,0,0.195953534531757
"4","dat_input.csv","2018-05-01",4,23.4,0,0.533028487980878,0,0.195953534531757
"5","dat_input.csv","2018-05-01",5,23.2,0,0.530495797094865,0,0.193255909185299
"6","dat_input.csv","2018-05-01",6,23.1,0,0.529233968023021,0,0.191921055114051
"7","dat_input.csv","2018-05-01",7,23.2,6.11111111111111,0.530495797094865,0.000329915833360817,0.193255909185299
"8","dat_input.csv","2018-05-01",8,23,223.888888888889,0.527975140318228,0.0120869164404009,0.190595421125123
"9","dat_input.csv","2018-05-01",9,22.8,633.888888888889,0.525466460470758,0.034221269624063,0.1879715590949
"10","dat_input.csv","2018-05-01",10,22.9,1046.11111111111,0.526719306841482,0.0564755922016744,0.189278943533713
"11","dat_input.csv","2018-05-01",11,23.1,1368.88888888889,0.529233968023021,0.0739011466728232,0.191921055114051
"12","dat_input.csv","2018-05-01",12,23.2,1744.11111111111,0.530495797094865,0.0941579788411772,0.193255909185299
"13","dat_input.csv","2018-05-01",13,23.6,1944.55555555556,0.53557327042946,0.104979218175412,0.198688815557364
"14","dat_input.csv","2018-05-01",14,23.6,2015.88888888889,0.53557327042946,0.108830235721188,0.198688815557364
"15","dat_input.csv","2018-05-01",15,23.6,1951.66666666667,0.53557327042946,0.10536312023605,0.198688815557364
"16","dat_input.csv","2018-05-01",16,23.9,1754.55555555556,0.539413242136361,0.0947218349927396,0.202863493311127
"17","dat_input.csv","2018-05-01",17,24.2,1440.33333333333,0.543280745804852,0.0777581626882957,0.207125885787528
"18","dat_input.csv","2018-05-01",18,24.3,1037,0.544576065985812,0.055983717686482,0.208566492873291
"19","dat_input.csv","2018-05-01",19,23.6,561,0.53557327042946,0.030286273502523,0.198688815557364
"20","dat_input.csv","2018-05-01",20,23.5,80.5555555555556,0.534299364158324,0.00434889053066532,0.197316435403627
"21","dat_input.csv","2018-05-01",21,24,0.111111111111111,0.540699341199897,5.9984696974694e-06,0.204274454499273
"22","dat_input.csv","2018-05-01",22,24.3,0,0.544576065985812,0,0.208566492873291
"23","dat_input.csv","2018-05-01",23,24.7,0,0.549788304176659,0,0.214429817999582
"24","dat_input.csv","2018-05-01",24,24.8,0,0.551099140040354,0,0.215921225575388
"25","dat_input.csv","2018-05-02",1,24.3,0,0.0784306646952158,0,0.0852688244062832
"26","dat_input.csv","2018-05-02",2,24.1,0,0.0780580005053337,0,0.0840949576397015
"27","dat_input.csv","2018-05-02",3,23.8,0,0.0775023216861586,0,0.0823643882645418
"28","dat_input.csv","2018-05-02",4,23.9,0,0.0776871070335625,0,0.0829372510957483
"29","dat_input.csv","2018-05-02",5,23.5,0,0.0769505986299813,0,0.0806694318493775
"30","dat_input.csv","2018-05-02",6,23.5,0,0.0769505986299813,0,0.0806694318493775
"31","dat_input.csv","2018-05-02",7,23.4,7.11111111111111,0.0767675651300386,0.0014169519052504,0.0801122332623674
"32","dat_input.csv","2018-05-02",8,23.3,245.555555555556,0.076584966990739,0.0489291204781779,0.0795588833483706
"33","dat_input.csv","2018-05-02",9,23.4,664.888888888889,0.0767675651300386,0.132485003140912,0.0801122332623674
"34","dat_input.csv","2018-05-02",10,23.4,860.111111111111,0.0767675651300386,0.17138476091474,0.0801122332623674
"35","dat_input.csv","2018-05-02",11,23.4,1270.33333333333,0.0767675651300386,0.253125173948871,0.0801122332623674
"36","dat_input.csv","2018-05-02",12,23.4,1766.66666666667,0.0767675651300386,0.352023988960647,0.0801122332623674
"37","dat_input.csv","2018-05-02",13,23.7,1966.66666666667,0.077317975866315,0.391875761295814,0.0817954823021613
"38","dat_input.csv","2018-05-02",14,24.4,2036.66666666667,0.0786176634496726,0.405823881613123,0.0858618882436075
"39","dat_input.csv","2018-05-02",15,24.6,1969.88888888889,0.0789929995801169,0.39251781762788,0.0870604192846356
"40","dat_input.csv","2018-05-02",16,25.1,1768.11111111111,0.0799391983175123,0.3523118073164,0.0901304527495028
"41","dat_input.csv","2018-05-02",17,25.1,1441.44444444444,0.0799391983175123,0.287220579168959,0.0901304527495028
"42","dat_input.csv","2018-05-02",18,24.9,1038,0.0795593663130714,0.206830698419519,0.0888896576068901
"43","dat_input.csv","2018-05-02",19,24.8,553.444444444444,0.0793701276387951,0.110278710000816,0.0882756804102879
"44","dat_input.csv","2018-05-02",20,24.9,83.4444444444444,0.0795593663130714,0.0166270450131726,0.0888896576068901
"45","dat_input.csv","2018-05-02",21,24.7,0.111111111111111,0.0791813390846932,2.21398735195375e-05,0.0876659440669874
"46","dat_input.csv","2018-05-02",22,24.8,0,0.0793701276387951,0,0.0882756804102879
"47","dat_input.csv","2018-05-02",23,24.8,0,0.0793701276387951,0,0.0882756804102879
"48","dat_input.csv","2018-05-02",24,24.7,0,0.0791813390846932,0,0.0876659440669874
"49","dat_input.csv","2018-05-03",1,24.5,0,0.419106019241838,0,0.328027644420379
"50","dat_input.csv","2018-05-03",2,24.3,0,0.417114632253823,0,0.323511799936931
"51","dat_input.csv","2018-05-03",3,24.2,0,0.416122489861457,0,0.321277244496618
"52","dat_input.csv","2018-05-03",4,24,0,0.414145279147019,0,0.316854330462099
"53","dat_input.csv","2018-05-03",5,23.7,0,0.411197064253048,0,0.310333863408251
